GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46
1400000US48453001806,48453001806,"Census Tract 18.06, Travis County, Texas",2344,140,441,110,0,18,0,18,0,18,0,18,119,77,0,18,38,42,81,68,54,64,16,27,38,55,0,18,49,43,39,40,10,16,0,18,192,87,160,76,32,46,0,18,27,49,1903,165,423,168,33,52,0,18,390,169,738,193,41,66,78,71,619,176,296,157,0,18,198,123,98,99,272,128,122,85,150,103,0,18,145,99,145,99,0,18,0,18,16,24,13,21
1400000US48453001811,48453001811,"Census Tract 18.11, Travis County, Texas",1257,101,387,73,42,31,0,13,0,13,42,31,42,38,8,14,13,19,21,24,70,47,20,20,22,32,28,25,80,51,39,35,8,12,33,34,153,56,105,56,48,31,0,13,0,13,870,111,323,99,0,13,19,22,304,96,259,102,24,36,21,33,214,92,134,77,30,36,33,32,71,58,87,71,87,71,0,13,0,13,67,48,51,42,16,29,0,13,0,13,0,13
1400000US48453001812,48453001812,"Census Tract 18.12, Travis County, Texas",2957,126,440,141,34,39,14,23,0,18,20,31,156,101,0,18,48,57,108,88,17,29,17,29,0,18,0,18,87,78,47,59,14,24,26,35,146,77,127,65,19,32,0,18,0,18,2517,157,755,170,0,18,32,34,723,169,612,173,0,18,95,64,517,167,445,160,15,24,251,102,179,121,324,135,262,126,31,36,31,35,201,109,201,109,0,18,0,18,77,59,103,91
1400000US48453001813,48453001813,"Census Tract 18.13, Travis County, Texas",2280,109,785,122,139,110,0,18,49,41,90,95,61,50,0,18,0,18,61,50,109,61,0,18,76,56,33,22,167,79,52,40,56,37,59,60,309,74,277,70,32,27,0,18,0,18,1495,137,397,129,0,18,11,16,386,129,570,139,0,18,68,47,502,139,116,65,0,18,94,54,22,34,239,97,101,62,129,68,9,16,104,62,104,62,0,18,0,18,49,42,20,32
1400000US48453001817,48453001817,"Census Tract 18.17, Travis County, Texas",2208,101,887,154,36,34,0,13,0,13,36,34,145,86,42,40,0,13,103,74,65,49,14,22,21,24,30,36,113,65,80,55,23,33,10,16,528,135,367,118,130,87,31,37,0,13,1321,161,241,95,0,13,23,26,218,95,183,104,0,13,31,37,152,97,312,135,13,20,224,126,75,58,356,147,13,21,291,151,52,48,148,89,85,70,63,63,0,13,32,45,49,46
1400000US48453001818,48453001818,"Census Tract 18.18, Travis County, Texas",2112,125,1035,154,70,50,0,18,19,23,51,44,63,43,12,20,20,22,31,43,106,55,12,21,38,37,56,46,278,109,69,46,115,88,94,64,518,145,314,136,190,91,14,24,0,18,1077,180,357,151,0,18,0,18,357,151,258,146,0,18,0,18,258,146,92,92,43,70,0,18,49,60,250,119,42,49,159,102,49,48,91,77,78,75,13,21,0,18,12,19,17,27
1400000US48453001819,48453001819,"Census Tract 18.19, Travis County, Texas",1391,74,180,62,35,29,0,13,21,24,14,16,12,15,6,11,0,13,6,11,23,29,0,13,0,13,23,29,36,29,25,25,11,18,0,13,74,41,61,40,13,21,0,13,0,13,1211,89,326,96,0,13,31,39,295,96,460,106,42,49,88,57,330,99,206,92,0,13,146,84,60,42,112,71,18,30,87,61,7,10,107,58,87,54,20,27,0,13,0,13,0,13
1400000US48453001820,48453001820,"Census Tract 18.20, Travis County, Texas",2912,121,529,107,26,33,10,19,0,18,16,28,33,37,0,18,33,37,0,18,149,85,37,36,39,46,73,62,139,73,50,45,77,58,12,20,182,66,182,66,0,18,0,18,0,18,2383,158,673,168,0,18,29,43,644,163,577,168,0,18,118,89,459,157,533,167,52,60,367,151,114,87,350,154,198,122,132,79,20,32,208,123,174,112,34,52,0,18,29,45,13,22
1400000US48453001821,48453001821,"Census Tract 18.21, Travis County, Texas",2001,68,875,109,67,50,0,18,6,10,61,50,81,42,44,29,26,23,11,13,91,44,41,25,19,21,31,34,213,82,128,67,70,42,15,13,416,108,351,96,65,43,0,18,7,11,1126,131,276,104,0,18,0,18,276,104,270,102,0,18,9,15,261,101,223,94,18,29,73,58,132,77,133,70,53,46,49,38,31,32,191,81,142,73,49,44,0,18,0,18,33,33
1400000US48453001822,48453001822,"Census Tract 18.22, Travis County, Texas",2435,92,790,160,65,46,0,18,12,23,53,48,173,95,11,19,34,55,128,76,109,74,22,29,74,65,13,21,248,97,214,102,34,43,0,18,195,122,170,114,9,14,16,30,0,18,1645,159,371,135,0,18,0,18,371,135,402,159,0,18,88,84,314,133,310,141,63,61,188,127,59,55,287,140,153,84,134,106,0,18,140,102,140,102,0,18,0,18,85,95,50,57
