GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
1400000US48453001729,48453001729,"Census Tract 17.29, Travis County, Texas",2293,50,2197,117,96,101
1400000US48453001733,48453001733,"Census Tract 17.33, Travis County, Texas",1353,89,1353,89,0,13
1400000US48453001737,48453001737,"Census Tract 17.37, Travis County, Texas",4213,75,4133,118,80,86
1400000US48453001738,48453001738,"Census Tract 17.38, Travis County, Texas",2865,46,2847,53,18,28
1400000US48453001740,48453001740,"Census Tract 17.40, Travis County, Texas",2021,40,1997,51,24,38
1400000US48453001741,48453001741,"Census Tract 17.41, Travis County, Texas",1686,64,1292,116,394,95
1400000US48453001742,48453001742,"Census Tract 17.42, Travis County, Texas",2499,89,2234,157,265,153
1400000US48453001745,48453001745,"Census Tract 17.45, Travis County, Texas",1091,51,1016,74,75,63
1400000US48453001746,48453001746,"Census Tract 17.46, Travis County, Texas",1935,35,1926,39,9,14
1400000US48453001747,48453001747,"Census Tract 17.47, Travis County, Texas",2225,51,2199,58,26,32
1400000US48453001748,48453001748,"Census Tract 17.48, Travis County, Texas",2548,71,2548,71,0,18
1400000US48453001749,48453001749,"Census Tract 17.49, Travis County, Texas",3190,73,2827,176,363,167
1400000US48453001750,48453001750,"Census Tract 17.50, Travis County, Texas",2715,87,2510,136,205,125
1400000US48453001751,48453001751,"Census Tract 17.51, Travis County, Texas",1007,23,964,41,43,33
1400000US48453001752,48453001752,"Census Tract 17.52, Travis County, Texas",2395,69,2239,132,156,113
1400000US48453001753,48453001753,"Census Tract 17.53, Travis County, Texas",891,23,722,69,169,64
1400000US48453001754,48453001754,"Census Tract 17.54, Travis County, Texas",2429,60,2349,92,80,79
1400000US48453001755,48453001755,"Census Tract 17.55, Travis County, Texas",2129,45,2096,53,33,40
1400000US48453001756,48453001756,"Census Tract 17.56, Travis County, Texas",1841,38,1755,85,86,79
1400000US48453001757,48453001757,"Census Tract 17.57, Travis County, Texas",1066,46,995,78,71,64
1400000US48453001760,48453001760,"Census Tract 17.60, Travis County, Texas",5935,110,5394,285,541,257
1400000US48453001761,48453001761,"Census Tract 17.61, Travis County, Texas",3365,87,3087,162,278,146
1400000US48453001764,48453001764,"Census Tract 17.64, Travis County, Texas",3576,195,2655,206,921,240
1400000US48453001765,48453001765,"Census Tract 17.65, Travis County, Texas",5143,272,4842,279,301,201
1400000US48453001766,48453001766,"Census Tract 17.66, Travis County, Texas",3117,175,2803,201,314,195
1400000US48453001768,48453001768,"Census Tract 17.68, Travis County, Texas",3174,159,2819,208,355,174
1400000US48453001769,48453001769,"Census Tract 17.69, Travis County, Texas",2244,74,2147,103,97,89
1400000US48453001770,48453001770,"Census Tract 17.70, Travis County, Texas",4032,55,4032,55,0,20
1400000US48453001771,48453001771,"Census Tract 17.71, Travis County, Texas",2171,125,1740,124,431,95
1400000US48453001772,48453001772,"Census Tract 17.72, Travis County, Texas",1397,82,1353,92,44,54
1400000US48453001773,48453001773,"Census Tract 17.73, Travis County, Texas",3326,214,2983,177,343,153
1400000US48453001774,48453001774,"Census Tract 17.74, Travis County, Texas",2966,87,2780,135,186,106
1400000US48453001775,48453001775,"Census Tract 17.75, Travis County, Texas",2164,114,2149,115,15,18
1400000US48453001776,48453001776,"Census Tract 17.76, Travis County, Texas",1219,34,1219,34,0,13
1400000US48453001777,48453001777,"Census Tract 17.77, Travis County, Texas",2363,90,2266,121,97,101
1400000US48453001778,48453001778,"Census Tract 17.78, Travis County, Texas",2020,116,1842,134,178,84
1400000US48453001779,48453001779,"Census Tract 17.79, Travis County, Texas",3429,256,2623,229,806,169
1400000US48453001780,48453001780,"Census Tract 17.80, Travis County, Texas",2506,110,1773,117,733,110
1400000US48453001781,48453001781,"Census Tract 17.81, Travis County, Texas",974,22,913,48,61,44
1400000US48453001782,48453001782,"Census Tract 17.82, Travis County, Texas",1871,39,1781,78,90,71
1400000US48453001783,48453001783,"Census Tract 17.83, Travis County, Texas",1993,112,1947,118,46,55
1400000US48453001784,48453001784,"Census Tract 17.84, Travis County, Texas",1976,60,1876,116,100,88
1400000US48453001785,48453001785,"Census Tract 17.85, Travis County, Texas",2446,73,2334,123,112,104
1400000US48453001786,48453001786,"Census Tract 17.86, Travis County, Texas",2793,63,2592,118,201,103
1400000US48453001804,48453001804,"Census Tract 18.04, Travis County, Texas",2777,105,2630,135,147,104
1400000US48453001805,48453001805,"Census Tract 18.05, Travis County, Texas",1907,37,1808,72,99,66
1400000US48453001806,48453001806,"Census Tract 18.06, Travis County, Texas",2625,63,2344,140,281,122
1400000US48453001811,48453001811,"Census Tract 18.11, Travis County, Texas",1410,62,1257,101,153,101
1400000US48453001812,48453001812,"Census Tract 18.12, Travis County, Texas",3119,84,2957,126,162,92
1400000US48453001813,48453001813,"Census Tract 18.13, Travis County, Texas",2506,45,2280,109,226,92
1400000US48453001817,48453001817,"Census Tract 18.17, Travis County, Texas",2321,40,2208,101,113,87
1400000US48453001818,48453001818,"Census Tract 18.18, Travis County, Texas",2374,37,2112,125,262,115
1400000US48453001819,48453001819,"Census Tract 18.19, Travis County, Texas",1506,33,1391,74,115,61
1400000US48453001820,48453001820,"Census Tract 18.20, Travis County, Texas",3098,72,2912,121,186,105
1400000US48453001821,48453001821,"Census Tract 18.21, Travis County, Texas",2077,35,2001,68,76,58
1400000US48453001822,48453001822,"Census Tract 18.22, Travis County, Texas",2520,51,2435,92,85,77
1400000US48453001823,48453001823,"Census Tract 18.23, Travis County, Texas",2381,77,2228,112,153,87
1400000US48453001824,48453001824,"Census Tract 18.24, Travis County, Texas",838,25,768,44,70,36
1400000US48453001826,48453001826,"Census Tract 18.26, Travis County, Texas",1266,37,1181,83,85,73
1400000US48453001828,48453001828,"Census Tract 18.28, Travis County, Texas",1780,27,1686,71,94,70
1400000US48453001829,48453001829,"Census Tract 18.29, Travis County, Texas",1559,31,1408,96,151,91
1400000US48453001832,48453001832,"Census Tract 18.32, Travis County, Texas",1280,38,1280,38,0,13
1400000US48453001833,48453001833,"Census Tract 18.33, Travis County, Texas",2811,52,2632,151,179,136
1400000US48453001834,48453001834,"Census Tract 18.34, Travis County, Texas",4290,79,3948,168,342,164
1400000US48453001835,48453001835,"Census Tract 18.35, Travis County, Texas",2318,68,2139,104,179,80
1400000US48453001839,48453001839,"Census Tract 18.39, Travis County, Texas",3482,107,3207,193,275,159
1400000US48453001840,48453001840,"Census Tract 18.40, Travis County, Texas",3653,89,3599,119,54,73
1400000US48453001841,48453001841,"Census Tract 18.41, Travis County, Texas",5608,147,5348,235,260,172
1400000US48453001842,48453001842,"Census Tract 18.42, Travis County, Texas",3075,115,3075,115,0,20
1400000US48453001843,48453001843,"Census Tract 18.43, Travis County, Texas",1034,28,1018,39,16,25
1400000US48453001844,48453001844,"Census Tract 18.44, Travis County, Texas",1822,49,1672,85,150,79
1400000US48453001845,48453001845,"Census Tract 18.45, Travis County, Texas",1546,50,1371,102,175,97
1400000US48453001846,48453001846,"Census Tract 18.46, Travis County, Texas",1071,26,1047,37,24,26
1400000US48453001847,48453001847,"Census Tract 18.47, Travis County, Texas",3134,74,2990,142,144,120
1400000US48453001848,48453001848,"Census Tract 18.48, Travis County, Texas",2182,43,2000,128,182,119
1400000US48453001849,48453001849,"Census Tract 18.49, Travis County, Texas",4106,127,3531,302,575,263
1400000US48453001850,48453001850,"Census Tract 18.50, Travis County, Texas",2308,59,2048,146,260,135
1400000US48453001851,48453001851,"Census Tract 18.51, Travis County, Texas",4395,143,4315,161,80,90
1400000US48453001853,48453001853,"Census Tract 18.53, Travis County, Texas",1327,33,1327,33,0,13
1400000US48453001854,48453001854,"Census Tract 18.54, Travis County, Texas",1841,165,1695,161,146,97
1400000US48453001855,48453001855,"Census Tract 18.55, Travis County, Texas",5660,242,5594,253,66,104
1400000US48453001856,48453001856,"Census Tract 18.56, Travis County, Texas",2568,103,2418,129,150,83
1400000US48453001857,48453001857,"Census Tract 18.57, Travis County, Texas",2540,110,2478,131,62,71
1400000US48453001858,48453001858,"Census Tract 18.58, Travis County, Texas",6889,189,6754,210,135,120
1400000US48453001859,48453001859,"Census Tract 18.59, Travis County, Texas",727,29,671,50,56,41
1400000US48453001860,48453001860,"Census Tract 18.60, Travis County, Texas",1780,96,1676,130,104,74
1400000US48453001861,48453001861,"Census Tract 18.61, Travis County, Texas",1670,104,1641,113,29,44
1400000US48453001862,48453001862,"Census Tract 18.62, Travis County, Texas",2166,107,1997,136,169,84
1400000US48453001863,48453001863,"Census Tract 18.63, Travis County, Texas",2011,64,1835,106,176,89
1400000US48453001864,48453001864,"Census Tract 18.64, Travis County, Texas",1732,65,1564,97,168,82
1400000US48453001901,48453001901,"Census Tract 19.01, Travis County, Texas",3127,57,2955,161,172,145
1400000US48453001908,48453001908,"Census Tract 19.08, Travis County, Texas",4057,121,3424,206,633,210
1400000US48453001910,48453001910,"Census Tract 19.10, Travis County, Texas",1967,26,1749,92,218,88
1400000US48453001911,48453001911,"Census Tract 19.11, Travis County, Texas",1969,38,1799,94,170,93
1400000US48453001912,48453001912,"Census Tract 19.12, Travis County, Texas",1715,42,1417,106,298,102
1400000US48453001913,48453001913,"Census Tract 19.13, Travis County, Texas",1852,70,1711,102,141,84
1400000US48453001914,48453001914,"Census Tract 19.14, Travis County, Texas",2903,57,2667,152,236,143
1400000US48453001915,48453001915,"Census Tract 19.15, Travis County, Texas",836,25,776,61,60,55
1400000US48453001916,48453001916,"Census Tract 19.16, Travis County, Texas",1004,37,957,44,47,34
1400000US48453001917,48453001917,"Census Tract 19.17, Travis County, Texas",1729,41,1643,75,86,66
1400000US48453001918,48453001918,"Census Tract 19.18, Travis County, Texas",1063,95,958,74,105,71
1400000US48453001919,48453001919,"Census Tract 19.19, Travis County, Texas",1440,49,1440,49,0,13
1400000US48453002002,48453002002,"Census Tract 20.02, Travis County, Texas",1472,38,1413,78,59,64
1400000US48453002003,48453002003,"Census Tract 20.03, Travis County, Texas",1540,44,1437,79,103,66
1400000US48453002004,48453002004,"Census Tract 20.04, Travis County, Texas",1656,50,1606,73,50,56
1400000US48453002005,48453002005,"Census Tract 20.05, Travis County, Texas",2657,92,2399,167,258,146
1400000US48453002104,48453002104,"Census Tract 21.04, Travis County, Texas",1286,29,1219,59,67,55
1400000US48453002105,48453002105,"Census Tract 21.05, Travis County, Texas",2382,55,2097,122,285,106
1400000US48453002106,48453002106,"Census Tract 21.06, Travis County, Texas",1293,41,1164,93,129,80
1400000US48453002107,48453002107,"Census Tract 21.07, Travis County, Texas",1655,61,1503,95,152,77
1400000US48453002108,48453002108,"Census Tract 21.08, Travis County, Texas",1488,41,1371,83,117,72
1400000US48453002109,48453002109,"Census Tract 21.09, Travis County, Texas",1784,62,1628,93,156,86
1400000US48453002110,48453002110,"Census Tract 21.10, Travis County, Texas",1562,65,1416,94,146,72
1400000US48453002111,48453002111,"Census Tract 21.11, Travis County, Texas",1922,84,1792,107,130,77
1400000US48453002112,48453002112,"Census Tract 21.12, Travis County, Texas",2021,66,1817,124,204,97
1400000US48453002113,48453002113,"Census Tract 21.13, Travis County, Texas",1449,56,1365,89,84,56
1400000US48453002201,48453002201,"Census Tract 22.01, Travis County, Texas",636,18,603,35,33,27
1400000US48453002202,48453002202,"Census Tract 22.02, Travis County, Texas",2635,81,2358,175,277,152
