GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
1400000US48453000101,48453000101,"Census Tract 1.01, Travis County, Texas",0.4463,0.0363
1400000US48453000102,48453000102,"Census Tract 1.02, Travis County, Texas",0.5195,0.0386
1400000US48453000203,48453000203,"Census Tract 2.03, Travis County, Texas",0.5653,0.1201
1400000US48453000204,48453000204,"Census Tract 2.04, Travis County, Texas",0.581,0.0507
1400000US48453000205,48453000205,"Census Tract 2.05, Travis County, Texas",0.4131,0.0374
1400000US48453000206,48453000206,"Census Tract 2.06, Travis County, Texas",0.4615,0.0474
1400000US48453000302,48453000302,"Census Tract 3.02, Travis County, Texas",0.4978,0.037
1400000US48453000304,48453000304,"Census Tract 3.04, Travis County, Texas",0.5047,0.0474
1400000US48453000305,48453000305,"Census Tract 3.05, Travis County, Texas",0.5007,0.0443
1400000US48453000306,48453000306,"Census Tract 3.06, Travis County, Texas",0.5276,0.0548
1400000US48453000307,48453000307,"Census Tract 3.07, Travis County, Texas",0.4244,0.0368
1400000US48453000401,48453000401,"Census Tract 4.01, Travis County, Texas",0.553,0.0873
1400000US48453000402,48453000402,"Census Tract 4.02, Travis County, Texas",0.3921,0.0332
1400000US48453000500,48453000500,"Census Tract 5, Travis County, Texas",0.6439,0.0577
1400000US48453000601,48453000601,"Census Tract 6.01, Travis County, Texas",0.5894,0.0657
1400000US48453000603,48453000603,"Census Tract 6.03, Travis County, Texas",0.6149,0.0508
1400000US48453000604,48453000604,"Census Tract 6.04, Travis County, Texas",0.6341,0.068
1400000US48453000700,48453000700,"Census Tract 7, Travis County, Texas",0.5403,0.0635
1400000US48453000801,48453000801,"Census Tract 8.01, Travis County, Texas",0.4137,0.0564
1400000US48453000802,48453000802,"Census Tract 8.02, Travis County, Texas",0.5431,0.0699
1400000US48453000803,48453000803,"Census Tract 8.03, Travis County, Texas",0.404,0.0478
1400000US48453000804,48453000804,"Census Tract 8.04, Travis County, Texas",0.5644,0.0411
1400000US48453000901,48453000901,"Census Tract 9.01, Travis County, Texas",0.3942,0.0391
1400000US48453000902,48453000902,"Census Tract 9.02, Travis County, Texas",0.4733,0.0542
1400000US48453001000,48453001000,"Census Tract 10, Travis County, Texas",0.5101,0.0504
1400000US48453001100,48453001100,"Census Tract 11, Travis County, Texas",0.5504,0.0663
1400000US48453001200,48453001200,"Census Tract 12, Travis County, Texas",0.4935,0.0462
1400000US48453001303,48453001303,"Census Tract 13.03, Travis County, Texas",0.4928,0.0614
1400000US48453001304,48453001304,"Census Tract 13.04, Travis County, Texas",0.4641,0.0574
1400000US48453001305,48453001305,"Census Tract 13.05, Travis County, Texas",0.4917,0.0342
1400000US48453001307,48453001307,"Census Tract 13.07, Travis County, Texas",0.4997,0.042
1400000US48453001308,48453001308,"Census Tract 13.08, Travis County, Texas",0.4425,0.0357
1400000US48453001401,48453001401,"Census Tract 14.01, Travis County, Texas",0.4147,0.0356
1400000US48453001402,48453001402,"Census Tract 14.02, Travis County, Texas",0.4084,0.0347
1400000US48453001403,48453001403,"Census Tract 14.03, Travis County, Texas",0.4562,0.0448
1400000US48453001501,48453001501,"Census Tract 15.01, Travis County, Texas",0.3893,0.0456
1400000US48453001503,48453001503,"Census Tract 15.03, Travis County, Texas",0.4678,0.0486
1400000US48453001504,48453001504,"Census Tract 15.04, Travis County, Texas",0.4554,0.0874
1400000US48453001505,48453001505,"Census Tract 15.05, Travis County, Texas",0.4752,0.0375
1400000US48453001602,48453001602,"Census Tract 16.02, Travis County, Texas",0.5557,0.0432
1400000US48453001603,48453001603,"Census Tract 16.03, Travis County, Texas",0.5016,0.0573
1400000US48453001604,48453001604,"Census Tract 16.04, Travis County, Texas",0.513,0.0578
1400000US48453001605,48453001605,"Census Tract 16.05, Travis County, Texas",0.5682,0.0446
1400000US48453001606,48453001606,"Census Tract 16.06, Travis County, Texas",-,**
1400000US48453001705,48453001705,"Census Tract 17.05, Travis County, Texas",0.4668,0.0398
1400000US48453001706,48453001706,"Census Tract 17.06, Travis County, Texas",0.4118,0.0317
1400000US48453001707,48453001707,"Census Tract 17.07, Travis County, Texas",0.398,0.0417
1400000US48453001712,48453001712,"Census Tract 17.12, Travis County, Texas",0.4099,0.0323
1400000US48453001713,48453001713,"Census Tract 17.13, Travis County, Texas",0.4068,0.0299
1400000US48453001714,48453001714,"Census Tract 17.14, Travis County, Texas",0.4381,0.0285
1400000US48453001716,48453001716,"Census Tract 17.16, Travis County, Texas",0.4493,0.0602
1400000US48453001718,48453001718,"Census Tract 17.18, Travis County, Texas",0.4912,0.0382
1400000US48453001719,48453001719,"Census Tract 17.19, Travis County, Texas",0.4285,0.053
1400000US48453001722,48453001722,"Census Tract 17.22, Travis County, Texas",0.4327,0.0825
1400000US48453001728,48453001728,"Census Tract 17.28, Travis County, Texas",0.3223,0.0311
1400000US48453001729,48453001729,"Census Tract 17.29, Travis County, Texas",0.3088,0.0517
1400000US48453001733,48453001733,"Census Tract 17.33, Travis County, Texas",0.3993,0.04
1400000US48453001737,48453001737,"Census Tract 17.37, Travis County, Texas",0.3584,0.0203
1400000US48453001738,48453001738,"Census Tract 17.38, Travis County, Texas",0.3743,0.0421
1400000US48453001740,48453001740,"Census Tract 17.40, Travis County, Texas",0.3726,0.037
1400000US48453001741,48453001741,"Census Tract 17.41, Travis County, Texas",0.4484,0.0392
1400000US48453001742,48453001742,"Census Tract 17.42, Travis County, Texas",0.5028,0.0387
1400000US48453001745,48453001745,"Census Tract 17.45, Travis County, Texas",0.3696,0.0375
1400000US48453001746,48453001746,"Census Tract 17.46, Travis County, Texas",0.4067,0.0425
1400000US48453001747,48453001747,"Census Tract 17.47, Travis County, Texas",0.4067,0.0354
1400000US48453001748,48453001748,"Census Tract 17.48, Travis County, Texas",0.3824,0.0425
1400000US48453001749,48453001749,"Census Tract 17.49, Travis County, Texas",0.3152,0.0254
1400000US48453001750,48453001750,"Census Tract 17.50, Travis County, Texas",0.4178,0.0365
1400000US48453001751,48453001751,"Census Tract 17.51, Travis County, Texas",0.4488,0.0496
1400000US48453001752,48453001752,"Census Tract 17.52, Travis County, Texas",0.4407,0.0524
1400000US48453001753,48453001753,"Census Tract 17.53, Travis County, Texas",0.3231,0.0476
1400000US48453001754,48453001754,"Census Tract 17.54, Travis County, Texas",0.4264,0.0433
1400000US48453001755,48453001755,"Census Tract 17.55, Travis County, Texas",0.3856,0.0314
1400000US48453001756,48453001756,"Census Tract 17.56, Travis County, Texas",0.3499,0.036
1400000US48453001757,48453001757,"Census Tract 17.57, Travis County, Texas",0.4736,0.0572
1400000US48453001760,48453001760,"Census Tract 17.60, Travis County, Texas",0.4348,0.0499
1400000US48453001761,48453001761,"Census Tract 17.61, Travis County, Texas",0.5095,0.0377
1400000US48453001764,48453001764,"Census Tract 17.64, Travis County, Texas",0.4671,0.0379
1400000US48453001765,48453001765,"Census Tract 17.65, Travis County, Texas",0.4149,0.0414
1400000US48453001766,48453001766,"Census Tract 17.66, Travis County, Texas",0.4487,0.0539
1400000US48453001768,48453001768,"Census Tract 17.68, Travis County, Texas",0.4477,0.0527
1400000US48453001769,48453001769,"Census Tract 17.69, Travis County, Texas",0.3878,0.0391
1400000US48453001770,48453001770,"Census Tract 17.70, Travis County, Texas",0.37,0.0373
1400000US48453001771,48453001771,"Census Tract 17.71, Travis County, Texas",0.4549,0.0556
1400000US48453001772,48453001772,"Census Tract 17.72, Travis County, Texas",0.3494,0.071
1400000US48453001773,48453001773,"Census Tract 17.73, Travis County, Texas",0.4331,0.0327
1400000US48453001774,48453001774,"Census Tract 17.74, Travis County, Texas",0.3219,0.0302
1400000US48453001775,48453001775,"Census Tract 17.75, Travis County, Texas",0.3229,0.0421
1400000US48453001776,48453001776,"Census Tract 17.76, Travis County, Texas",0.3289,0.0331
1400000US48453001777,48453001777,"Census Tract 17.77, Travis County, Texas",0.3053,0.0289
1400000US48453001778,48453001778,"Census Tract 17.78, Travis County, Texas",0.4808,0.0745
1400000US48453001779,48453001779,"Census Tract 17.79, Travis County, Texas",0.4917,0.0897
1400000US48453001780,48453001780,"Census Tract 17.80, Travis County, Texas",0.4852,0.054
1400000US48453001781,48453001781,"Census Tract 17.81, Travis County, Texas",0.3539,0.0342
1400000US48453001782,48453001782,"Census Tract 17.82, Travis County, Texas",0.4231,0.0469
1400000US48453001783,48453001783,"Census Tract 17.83, Travis County, Texas",0.5271,0.0391
1400000US48453001784,48453001784,"Census Tract 17.84, Travis County, Texas",0.4273,0.0565
1400000US48453001785,48453001785,"Census Tract 17.85, Travis County, Texas",0.3596,0.0401
1400000US48453001786,48453001786,"Census Tract 17.86, Travis County, Texas",0.3824,0.041
1400000US48453001804,48453001804,"Census Tract 18.04, Travis County, Texas",0.5262,0.1208
1400000US48453001805,48453001805,"Census Tract 18.05, Travis County, Texas",0.4669,0.0417
1400000US48453001806,48453001806,"Census Tract 18.06, Travis County, Texas",0.4474,0.0796
1400000US48453001811,48453001811,"Census Tract 18.11, Travis County, Texas",0.434,0.0363
1400000US48453001812,48453001812,"Census Tract 18.12, Travis County, Texas",0.4529,0.0326
1400000US48453001813,48453001813,"Census Tract 18.13, Travis County, Texas",0.4794,0.0452
1400000US48453001817,48453001817,"Census Tract 18.17, Travis County, Texas",0.4463,0.0585
1400000US48453001818,48453001818,"Census Tract 18.18, Travis County, Texas",0.4638,0.0673
1400000US48453001819,48453001819,"Census Tract 18.19, Travis County, Texas",0.4249,0.0589
1400000US48453001820,48453001820,"Census Tract 18.20, Travis County, Texas",0.4109,0.0436
1400000US48453001821,48453001821,"Census Tract 18.21, Travis County, Texas",0.4141,0.0308
1400000US48453001822,48453001822,"Census Tract 18.22, Travis County, Texas",0.4024,0.0565
1400000US48453001823,48453001823,"Census Tract 18.23, Travis County, Texas",0.3813,0.0349
1400000US48453001824,48453001824,"Census Tract 18.24, Travis County, Texas",0.4076,0.0452
1400000US48453001826,48453001826,"Census Tract 18.26, Travis County, Texas",0.351,0.0435
1400000US48453001828,48453001828,"Census Tract 18.28, Travis County, Texas",0.3266,0.0449
1400000US48453001829,48453001829,"Census Tract 18.29, Travis County, Texas",0.3685,0.0357
1400000US48453001832,48453001832,"Census Tract 18.32, Travis County, Texas",0.4013,0.0468
1400000US48453001833,48453001833,"Census Tract 18.33, Travis County, Texas",0.5157,0.0928
