GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73
1400000US48453001746,48453001746,"Census Tract 17.46, Travis County, Texas",1164,141,41,29,0,13,0,13,0,13,0,13,0,13,0,13,27,27,14,21,63,39,0,13,0,13,0,13,20,22,0,13,0,13,43,38,0,13,116,71,10,15,18,27,0,13,15,22,0,13,7,13,66,62,0,13,78,45,26,27,8,13,0,13,0,13,10,16,22,25,12,19,0,13,183,87,29,25,17,22,55,54,44,40,19,19,19,29,0,13,0,13,228,87,72,51,91,48,57,47,8,13,0,13,0,13,0,13,0,13,303,93,208,86,38,30,57,41,0,13,0,13,0,13,0,13,0,13,152,69,145,68,7,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US48453001747,48453001747,"Census Tract 17.47, Travis County, Texas",1144,125,38,46,0,18,0,18,0,18,0,18,0,18,0,18,12,19,26,42,37,33,0,18,0,18,0,18,5,8,0,18,0,18,32,32,0,18,94,62,8,13,15,18,9,14,0,18,0,18,8,12,54,55,0,18,92,50,18,20,0,18,0,18,0,18,20,22,37,29,17,19,0,18,200,92,37,27,16,19,101,79,24,21,0,18,22,24,0,18,0,18,267,72,158,55,59,53,13,22,29,26,0,18,8,13,0,18,0,18,260,78,197,64,54,47,0,18,9,15,0,18,0,18,0,18,0,18,156,72,147,71,0,18,0,18,0,18,9,15,0,18,0,18,0,18
1400000US48453001748,48453001748,"Census Tract 17.48, Travis County, Texas",1531,165,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,61,52,11,17,34,53,16,24,0,18,0,18,0,18,0,18,0,18,43,42,0,18,0,18,0,18,0,18,0,18,17,28,26,30,0,18,80,64,13,22,0,18,0,18,0,18,54,57,13,22,0,18,0,18,327,114,159,96,11,18,49,39,16,25,16,25,61,64,15,25,0,18,269,117,133,92,92,62,44,65,0,18,0,18,0,18,0,18,0,18,526,146,371,111,116,86,39,33,0,18,0,18,0,18,0,18,0,18,225,83,209,77,0,18,16,26,0,18,0,18,0,18,0,18,0,18
1400000US48453001749,48453001749,"Census Tract 17.49, Travis County, Texas",969,139,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,81,58,13,21,0,18,0,18,0,18,13,21,0,18,55,55,0,18,31,46,0,18,0,18,0,18,0,18,0,18,0,18,31,46,0,18,133,75,48,57,14,23,0,18,0,18,32,37,0,18,39,37,0,18,180,85,65,51,13,22,44,71,29,34,16,27,13,21,0,18,0,18,122,74,84,78,38,40,0,18,0,18,0,18,0,18,0,18,0,18,280,93,255,92,25,28,0,18,0,18,0,18,0,18,0,18,0,18,142,59,142,59,0,18,0,18,0,18,0,18,0,18,0,18,0,18
1400000US48453001750,48453001750,"Census Tract 17.50, Travis County, Texas",863,104,5,8,0,13,0,13,0,13,0,13,0,13,0,13,4,8,1,2,6,14,0,13,0,13,0,13,0,13,0,13,4,13,2,3,0,13,92,76,18,26,0,13,4,6,13,21,6,9,0,13,51,69,0,13,37,29,24,25,2,4,1,2,1,4,8,14,0,13,1,3,0,13,78,46,28,26,7,9,13,21,0,13,0,13,30,33,0,13,0,13,108,51,53,40,32,34,7,11,0,13,13,19,0,13,3,5,0,13,235,105,198,103,8,10,20,25,7,8,2,3,0,13,0,13,0,13,302,107,222,88,71,74,7,9,2,7,0,13,0,13,0,13,0,13
1400000US48453001751,48453001751,"Census Tract 17.51, Travis County, Texas",838,62,22,18,0,13,0,13,0,13,0,13,0,13,0,13,16,16,6,9,33,24,0,13,0,13,0,13,0,13,0,13,6,8,27,22,0,13,52,31,11,11,0,13,0,13,6,8,5,7,14,24,16,15,0,13,38,19,6,8,11,10,0,13,5,7,5,9,0,13,11,12,0,13,104,33,30,16,11,8,21,17,13,14,9,12,5,8,15,15,0,13,141,43,82,37,0,13,16,17,19,16,4,7,20,15,0,13,0,13,126,49,67,29,28,25,11,12,20,26,0,13,0,13,0,13,0,13,322,58,228,60,69,35,25,18,0,13,0,13,0,13,0,13,0,13
1400000US48453001752,48453001752,"Census Tract 17.52, Travis County, Texas",69,67,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,35,58,0,13,0,13,0,13,0,13,0,13,0,13,35,58,0,13,12,20,0,13,12,20,0,13,0,13,0,13,0,13,0,13,0,13,22,26,22,26,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US48453001753,48453001753,"Census Tract 17.53, Travis County, Texas",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US48453001754,48453001754,"Census Tract 17.54, Travis County, Texas",1013,144,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,30,32,0,18,0,18,0,18,0,18,0,18,30,32,0,18,0,18,43,36,12,20,0,18,0,18,16,26,0,18,0,18,15,25,0,18,39,28,27,20,0,18,0,18,0,18,0,18,0,18,12,21,0,18,202,90,110,68,37,41,0,18,0,18,13,21,20,32,22,28,0,18,132,77,113,70,0,18,19,32,0,18,0,18,0,18,0,18,0,18,174,78,71,55,68,42,10,17,12,20,13,22,0,18,0,18,0,18,393,108,373,114,20,31,0,18,0,18,0,18,0,18,0,18,0,18
1400000US48453001755,48453001755,"Census Tract 17.55, Travis County, Texas",1982,75,41,55,0,18,0,18,0,18,0,18,0,18,0,18,0,18,41,55,47,31,0,18,0,18,0,18,0,18,0,18,0,18,47,31,0,18,68,46,0,18,0,18,0,18,9,15,9,15,33,38,17,20,0,18,64,39,7,11,16,19,15,17,0,18,0,18,0,18,26,26,0,18,71,42,9,15,18,20,0,18,0,18,7,10,19,21,18,21,0,18,183,62,111,48,10,14,38,29,16,18,8,13,0,18,0,18,0,18,288,72,182,57,33,28,17,18,25,21,20,23,11,17,0,18,0,18,1220,96,961,108,142,53,89,59,20,21,0,18,8,12,0,18,0,18
