--,GEOID,STATE,COUNTY,TRACT,BLOCKGROUP,STUSAB,households,area_median_income,blkgrp_median_income_owners,blkgrp_median_income_renters,avg_hh_size_owners,avg_hh_size_renters,commuters_per_hh_owners,commuters_per_hh_renters,pct_renters,gross_hh_density,median_rooms_per_owner_unit,median_rooms_per_renter_unit,pct_detatched_single_family_uni,median_commute_distance,block_denstiy,employment_access_index,local_job_density,local_retail_job_density,retail_access_index,hh_type1_income,hh_type1_size,hh_type1_workers,hh_type1_ht,hh_type1_h,hh_type1_t,hh_type1_autos,hh_type1_vmt,hh_type1_transit_trips,hh_type1_ht_own,hh_type1_h_own,hh_type1_t_own,hh_type1_autos_own,hh_type1_vmt_own,hh_type1_transit_trips_own,hh_type1_ht_rent,hh_type1_h_rent,hh_type1_t_rent,hh_type1_autos_rent,hh_type1_vmt_rent,hh_type1_transit_trips_rent,hh_type2_income,hh_type2_size,hh_type2_workers,hh_type2_ht,hh_type2_h,hh_type2_t,hh_type2_autos,hh_type2_vmt,hh_type2_transit_trips,hh_type2_ht_own,hh_type2_h_own,hh_type2_t_own,hh_type2_autos_own,hh_type2_vmt_own,hh_type2_transit_trips_own,hh_type2_ht_rent,hh_type2_h_rent,hh_type2_t_rent,hh_type2_autos_rent,hh_type2_vmt_rent,hh_type2_transit_trips_rent,hh_type3_income,hh_type3_size,hh_type3_workers,hh_type3_ht,hh_type3_h,hh_type3_t,hh_type3_autos,hh_type3_vmt,hh_type3_transit_trips,hh_type3_ht_own,hh_type3_h_own,hh_type3_t_own,hh_type3_autos_own,hh_type3_vmt_own,hh_type3_transit_trips_own,hh_type3_ht_rent,hh_type3_h_rent,hh_type3_t_rent,hh_type3_autos_rent,hh_type3_vmt_rent,hh_type3_transit_trips_rent,hh_type4_income,hh_type4_size,hh_type4_workers,hh_type4_ht,hh_type4_h,hh_type4_t,hh_type4_autos,hh_type4_vmt,hh_type4_transit_trips,hh_type4_ht_own,hh_type4_h_own,hh_type4_t_own,hh_type4_autos_own,hh_type4_vmt_own,hh_type4_transit_trips_own,hh_type4_ht_rent,hh_type4_h_rent,hh_type4_t_rent,hh_type4_autos_rent,hh_type4_vmt_rent,hh_type4_transit_trips_rent,hh_type5_income,hh_type5_size,hh_type5_workers,hh_type5_ht,hh_type5_h,hh_type5_t,hh_type5_autos,hh_type5_vmt,hh_type5_transit_trips,hh_type5_ht_own,hh_type5_h_own,hh_type5_t_own,hh_type5_autos_own,hh_type5_vmt_own,hh_type5_transit_trips_own,hh_type5_ht_rent,hh_type5_h_rent,hh_type5_t_rent,hh_type5_autos_rent,hh_type5_vmt_rent,hh_type5_transit_trips_rent,hh_type6_income,hh_type6_size,hh_type6_workers,hh_type6_ht,hh_type6_h,hh_type6_t,hh_type6_autos,hh_type6_vmt,hh_type6_transit_trips,hh_type6_ht_own,hh_type6_h_own,hh_type6_t_own,hh_type6_autos_own,hh_type6_vmt_own,hh_type6_transit_trips_own,hh_type6_ht_rent,hh_type6_h_rent,hh_type6_t_rent,hh_type6_autos_rent,hh_type6_vmt_rent,hh_type6_transit_trips_rent,hh_type7_income,hh_type7_size,hh_type7_workers,hh_type7_ht,hh_type7_h,hh_type7_t,hh_type7_autos,hh_type7_vmt,hh_type7_transit_trips,hh_type7_ht_own,hh_type7_h_own,hh_type7_t_own,hh_type7_autos_own,hh_type7_vmt_own,hh_type7_transit_trips_own,hh_type7_ht_rent,hh_type7_h_rent,hh_type7_t_rent,hh_type7_autos_rent,hh_type7_vmt_rent,hh_type7_transit_trips_rent,hh_type8_income,hh_type8_size,hh_type8_workers,hh_type8_ht,hh_type8_h,hh_type8_t,hh_type8_autos,hh_type8_vmt,hh_type8_transit_trips,hh_type8_ht_own,hh_type8_h_own,hh_type8_t_own,hh_type8_autos_own,hh_type8_vmt_own,hh_type8_transit_trips_own,hh_type8_ht_rent,hh_type8_h_rent,hh_type8_t_rent,hh_type8_autos_rent,hh_type8_vmt_rent,hh_type8_transit_trips_rent,Shape__Area,Shape__Length
172630,4.8453E+11,48,453,1200,2,TX,1267,59646,117010.9883,53060.62437,1.79,1.62,1.01698,1.1054,0.70955,3.32572,5.5,2.9,24.31346,1.82052,0.17849,186198.1007,37.08776,1.80592,4949.11976,59646,4,2,44.57332,28.86484,15.70848,1.67618,18210.96,122.0408,62.72308,45.26708,17.456,1.96,18210.96,93.44049,37.14383,22.15069,14.99314,1.56,18210.96,133.74816,11720,1,1,181.68212,148.64397,33.03815,0.6368,9918.72,115.71209,267.8215,230.37543,37.44607,0.8,9918.72,60.4615,146.42151,115.18771,31.2338,0.57,9918.72,138.32858,29823,1,1,74.21425,58.41489,15.79936,0.8268,10325.88,108.02986,108.19793,90.53415,17.66377,0.99,10325.88,58.62933,60.30325,45.26708,15.03617,0.76,10325.88,128.25166,80522,1,1,27.01593,19.64721,7.36872,1.0268,11135.88,100.08156,41.66832,33.53121,8.13711,1.19,11135.88,55.88108,21.01807,13.96389,7.05419,0.96,11135.88,118.17474,47717,2,0,39.92178,33.13665,6.78514,0.85908,0,135.30702,65.59866,56.58361,9.01505,1.15,0,94.35658,29.41111,23.53878,5.87233,0.74,0,152.06983,29823,3,1,72.53401,52.01959,20.51442,1.16908,11448,134.80523,114.43502,90.53415,23.90087,1.46,11448,97.10483,55.3821,36.2539,19.1282,1.05,11448,150.23766,47717,3,1,48.51582,34.27866,14.23716,1.26199,12096,131.28912,73.11042,56.58361,16.52682,1.56,12096,96.18874,38.44818,25.14827,13.29991,1.14,12096,145.65724,89469,4,2,31.57367,20.22346,11.35021,1.75618,19199.16,119.1747,42.75187,30.17805,12.57382,2.04,19199.16,92.52441,26.99794,16.14861,10.84933,1.64,19199.16,130.08383,0.000161471,0.083407443
172631,4.8453E+11,48,453,1402,1,TX,312,59646,104258.0119,49436.96028,1.98,1.24,0.91818,1.00885,0.23077,2.33746,5.7,4.5,81.33705,4.04373,0.1798,96449.10034,9.84293,0.12019,4144.11972,59646,4,2,48.05963,28.91212,19.14751,2.04308,22398.12,57.78371,49.63833,30.07746,19.56087,2.11,22398.12,53.13283,42.7973,25.02766,17.76963,1.82,22398.12,73.28666,11720,1,1,150.06326,104.95668,45.10658,0.92231,12810.96,33.47227,161.02972,115.18771,45.84201,0.95,12810.96,20.15383,113.50839,70.85324,42.65515,0.83,12810.96,77.86708,29823,1,1,63.31398,42.72283,20.59115,1.11231,12984.84,29.03279,66.17054,45.26708,20.90346,1.14,12984.84,17.40558,53.79213,34.24203,19.55011,1.02,12984.84,67.79016,80522,1,1,29.77505,20.59676,9.17829,1.31231,13328.28,24.59331,31.34873,22.04118,9.30755,1.34,13328.28,14.65733,24.52945,15.78202,8.74743,1.22,13328.28,57.71325,47717,2,0,46.54802,36.31217,10.23585,1.24077,1512,62.01179,49.99849,39.2313,10.76719,1.31,1512,53.13283,35.04643,26.58172,8.46471,1.01,1512,91.60833,29823,3,1,72.83787,45.86135,26.97652,1.54846,15071.4,64.4077,75.13053,47.31918,27.81135,1.62,15071.4,56.79716,65.19566,41.00191,24.19375,1.31,15071.4,89.77616,47717,3,1,53.29312,34.9561,18.33702,1.63846,15529.32,61.94132,55.80546,36.91766,18.88779,1.71,15529.32,54.965,44.91867,28.41755,16.50112,1.4,15529.32,85.19575,89469,4,2,36.57124,22.89714,13.6741,2.12308,23155.2,55.52874,38.25345,24.28998,13.96348,2.19,23155.2,51.30066,30.96388,18.25437,12.70951,1.9,23155.2,69.62233,5.57E-05,0.035460201
172632,4.8453E+11,48,453,1855,2,TX,906,59646,104884.0736,39960.43214,3.38,3.52,1.50123,0.80338,0.1457,0.53174,7,6,100,14.9137,0.03287,10775.12098,0.42376,0.11284,1083.12197,59646,4,2,53.7173,29.77488,23.94243,2.46046,30171.96,19.86869,54.50982,30.25853,24.2513,2.51,30171.96,21.06992,49.07025,26.93894,22.13131,2.17,30171.96,12.82517,11720,1,1,184.77868,118.91712,65.86156,1.32523,19208.88,2.53591,181.73686,115.18771,66.54914,1.35,19208.88,0,202.61479,140.78498,61.8298,1.18,19208.88,17.40558,29823,1,1,75.84459,46.73268,29.11192,1.51523,19629,1.06775,74.66999,45.26708,29.40291,1.54,19629,0,82.73206,55.32643,27.40563,1.37,19629,7.32867,80522,1,1,34.03976,21.40698,12.63278,1.71669,20461.68,0,34.90586,22.1604,12.74546,1.74,20461.68,0,28.96121,16.98915,11.97207,1.58,20461.68,0,47717,2,0,53.54197,37.87846,15.66351,1.65901,7685.28,23.32069,55.51658,39.45764,16.05895,1.71,7685.28,21.986,41.96355,28.61873,13.34482,1.36,7685.28,31.14683,29823,3,1,84.58204,48.72643,35.85562,1.96755,22030.92,26.18421,84.07485,47.60084,36.474,2.02,22030.92,25.65033,87.55607,55.32643,32.22965,1.66,22030.92,29.31467,47717,3,1,60.30175,36.16621,24.13554,2.05901,22688.64,23.95163,61.65076,37.11885,24.53191,2.11,22688.64,23.81817,52.39164,30.5803,21.81135,1.76,22688.64,24.73425,89469,4,2,41.29981,24.29682,17.003,2.54046,31172.04,18.5522,41.65668,24.43751,17.21916,2.59,31172.04,20.15383,39.20729,23.47182,15.73547,2.25,31172.04,9.16083,0.000648521,0.112342996
172644,4.8453E+11,48,453,2208,4,TX,578,59646,41586.80472,28984.46669,3.41,4.16,1.39485,1.58151,0.41522,1.23174,5.2,4.9,80.033,6.65576,0.0341,17800.10858,0.3246,0.00342,1270.12062,59646,4,2,46.73501,25.4212,21.31382,2.19806,26640.36,40.96699,50.50239,28.1863,22.3161,2.36,26640.36,32.979,41.42928,21.52701,19.90227,1.97,26640.36,52.21675,11720,1,1,124.89017,69.54734,55.34283,1.1145,16077.96,23.5836,115.08324,57.13311,57.95014,1.21,16077.96,0,138.70158,87.03072,51.67087,0.98,16077.96,56.79716,29823,1,1,57.41878,32.6303,24.78847,1.29865,16499.16,19.39941,60.72822,34.88583,25.84239,1.39,16499.16,0,52.75798,29.45378,23.3042,1.17,16499.16,46.72025,80522,1,1,28.63078,17.70721,10.92357,1.49865,17336.16,14.83484,31.99858,20.64032,11.35826,1.59,17336.16,0,23.88779,13.57641,10.31138,1.37,17336.16,35.72725,47717,2,0,43.30144,30.97753,12.32391,1.38976,4142.88,48.5746,50.377,36.74162,13.63538,1.56,4142.88,32.979,33.3367,22.85978,10.47692,1.15,4142.88,70.53841,29823,3,1,71.284,40.54217,30.74183,1.69976,18564.12,49.95665,77.03587,44.30138,32.73449,1.87,18564.12,36.64333,63.18346,35.24796,27.93549,1.46,18564.12,68.70625,47717,3,1,51.19269,30.37067,20.82202,1.78976,19222.92,47.51905,56.71534,34.57887,22.13646,1.96,19222.92,35.72725,43.41497,24.44412,18.97085,1.55,19222.92,64.12583,89469,4,2,35.04616,19.82372,15.22244,2.28391,27642.6,38.90977,38.68968,22.74754,15.94214,2.45,27642.6,32.06291,29.91487,15.706,14.20887,2.05,27642.6,48.55241,0.000178261,0.068434881
172645,4.8453E+11,48,453,2202,1,TX,747,59646,43774.60941,21928.5478,4,3.68,1.54168,1.19262,0.30924,1.66769,5.3,5,89.41935,7.52671,0.04242,17196.10964,0.03051,0.01171,1331.12073,59646,4,2,48.16295,26.51087,21.65208,2.23558,26990.28,48.72165,50.60688,28.24666,22.36023,2.35,26990.28,43.05591,42.70377,22.63354,20.07023,1.98,26990.28,61.37758,11720,1,1,166.06396,109.64678,56.41718,1.12815,16532.64,27.70692,173.28882,115.18771,58.1011,1.19,16532.64,10.993,149.92531,97.26962,52.65569,0.99,16532.64,65.04191,29823,1,1,68.29862,43.08957,25.20905,1.31815,16824.24,22.97566,71.18768,45.26708,25.9206,1.38,16824.24,8.24475,61.84514,38.22553,23.61961,1.18,16824.24,55.88108,80522,1,1,30.50657,19.473,11.03357,1.51815,17404.2,17.67783,32.01191,20.68503,11.32688,1.58,17404.2,5.4965,27.14398,16.7656,10.37837,1.38,17404.2,44.88808,47717,2,0,46.96725,34.18074,12.78651,1.4294,4560.84,55.02018,50.53264,36.81707,13.71557,1.55,4560.84,43.972,39.00299,28.2918,10.71119,1.16,4560.84,79.69925,29823,3,1,74.02405,42.52964,31.49441,1.7394,19047.96,56.352,78.17287,45.26708,32.90579,1.86,19047.96,46.72025,64.75655,36.41485,28.3417,1.47,19047.96,77.86708,47717,3,1,53.95778,32.68679,21.27099,1.8294,19602,54.30277,56.85636,34.65432,22.20205,1.95,19602,45.80416,47.48303,28.2918,19.19122,1.56,19602,73.28666,89469,4,2,35.85224,20.41631,15.43593,2.32249,27865.08,46.67242,38.74644,22.80119,15.94525,2.44,27865.08,42.13983,29.38726,15.08903,14.29823,2.06,27865.08,56.79716,0.000169599,0.066546599
172646,4.8453E+11,48,453,2211,1,TX,622,59646,50706.66294,8921.95442,3.35,2.01,1.64953,0.95953,0.14148,0.3702,5.7,3,70.25797,7.64761,0.02024,12269.10911,0.08334,0.00268,867.12068,59646,4,2,49.52558,27.09536,22.43022,2.29926,28351.08,37.55941,51.86127,28.99105,22.87023,2.37,28351.08,37.55941,35.35217,15.59199,19.76017,1.87,28351.08,37.55941,11720,1,1,133.52011,74.25677,59.26333,1.16331,17817.84,9.76468,137.34996,76.79181,60.55815,1.21,17817.84,4.58042,110.27988,58.87372,51.40616,0.88,17817.84,41.22375,29823,1,1,61.64285,35.19116,26.45168,1.35331,18308.16,6.10919,62.8489,35.85152,26.99738,1.4,18308.16,1.83217,54.32428,31.18399,23.1403,1.07,18308.16,32.06291,80522,1,1,31.46739,19.86595,11.60143,1.55473,19282.32,2.98095,33.05533,21.23643,11.81889,1.6,19282.32,0,21.8315,11.54964,10.28186,1.28,19282.32,21.06992,47717,2,0,48.94893,35.20766,13.74127,1.49785,5775.84,40.15155,52.0981,37.79785,14.30025,1.57,5775.84,37.55941,29.83917,19.48991,10.34926,1.06,5775.84,55.88108,29823,3,1,76.48271,43.55097,32.93174,1.80643,20206.8,43.03824,79.38676,45.58897,33.79778,1.88,20206.8,41.22375,58.86044,31.18399,27.67646,1.36,20206.8,54.04891,47717,3,1,55.551,33.28612,22.26488,1.89785,20921.76,41.60373,58.38453,35.55965,22.82488,1.97,20921.76,40.30766,38.35664,19.48991,18.86673,1.46,20921.76,49.4685,89469,4,2,37.5388,21.5641,15.9747,2.37926,29420.28,35.33843,39.68736,23.40475,16.28261,2.45,29420.28,35.72725,24.50096,10.39466,14.1063,1.95,29420.28,32.979,0.000637248,0.106975443
172685,4.8041E+11,48,41,2006,1,TX,598,38599,73973.84002,80361.13531,2.69,2.39,1.47283,1.0078,0.36622,2.2881,5.6,5.7,83.1307,4.12557,0.06887,10396.21586,2.22888,0.03496,805.13231,38599,4,2,62.6381,32.17419,30.4639,2.11647,25213.68,2.72788,66.47245,34.975,31.49745,2.23,25213.68,2.50544,56.00239,27.32713,28.67526,1.92,25213.68,3.11282,11720,1,1,150.60286,96.43921,54.16365,1.10873,15426.72,1.11217,170.7628,115.18771,55.57509,1.16,15426.72,0,115.71419,63.99317,51.72101,1.02,15426.72,3.0369,19300,1,1,93.30615,58.56309,34.74306,1.20873,15590.88,0.97315,105.55052,69.94819,35.60234,1.26,15590.88,0,72.11612,38.8601,33.25601,1.12,15590.88,2.65729,52109,1,1,38.03493,22.72778,15.30715,1.40873,16115.76,0.6395,41.57572,25.90723,15.66849,1.46,16115.76,0,31.90724,17.22543,14.68181,1.32,16115.76,1.74622,30879,2,0,55.55422,38.3394,17.21482,1.30915,4091.04,3.28396,62.30386,43.71903,18.58483,1.43,4091.04,2.50544,43.87334,29.02944,14.8439,1.1,4091.04,4.63127,19300,3,1,104.42347,60.72626,43.69721,1.61915,17707.68,3.42083,115.69707,69.94819,45.74888,1.74,17707.68,2.80913,84.91344,44.76684,40.1466,1.41,17707.68,4.47942,30879,3,1,68.65504,39.06522,29.58981,1.70915,18240.12,3.23369,74.68156,43.71903,30.96253,1.83,18240.12,2.73321,58.22556,31.01137,27.2142,1.5,18240.12,4.09981,57899,4,2,43.84203,22.07926,21.76277,2.19647,26060.4,2.54074,45.80612,23.31646,22.48966,2.31,26060.4,2.42952,40.44299,19.93817,20.50483,2,26060.4,2.73321,9.96E-05,0.04515489
172704,4.8209E+11,48,209,10907,1,TX,566,59646,35071.70532,37270.16822,3.56,4.5,1.91364,2.20402,0.22438,0.09696,5.2,4,26.06707,26.931,0.00274,2770.08319,0.00051,0,289.11785,59646,4,2,50.05936,26.53465,23.52471,2.32781,31568.4,32.979,51.88576,27.66321,24.22255,2.44,31568.4,32.979,43.74604,22.63354,21.1125,1.94,31568.4,32.979,11720,1,1,156.62521,90.95171,65.6735,1.2082,21273.84,9.13817,164.93364,97.26962,67.66402,1.28,21273.84,0.91608,127.90552,69.11263,58.79289,0.96,21273.84,37.55941,29823,1,1,64.48053,35.3364,29.14413,1.3982,22089.24,6.16657,68.20941,38.22553,29.98388,1.47,22089.24,0,51.59095,25.34956,26.24139,1.15,22089.24,27.4825,80522,1,1,32.40492,19.65532,12.7496,1.5982,23708.16,3.90549,33.58616,20.49129,13.09487,1.67,23708.16,0,28.32174,16.7656,11.55614,1.35,23708.16,17.40558,47717,2,0,48.30912,33.16817,15.14095,1.52557,9094.68,37.80057,50.60652,34.57887,16.02765,1.64,9094.68,33.89508,40.36774,28.2918,12.07594,1.13,9094.68,51.30066,29823,3,1,81.37136,46.39059,34.98077,1.83332,23240.52,40.23159,83.07016,46.71562,36.35454,1.95,23240.52,37.55941,75.49914,45.26708,30.23207,1.43,23240.52,49.4685,47717,3,1,56.8231,33.16817,23.65493,1.92557,24216.84,37.78277,59.12194,34.57887,24.54307,2.04,24216.84,35.72725,48.87672,28.2918,20.58492,1.53,24216.84,44.88808,89469,4,2,34.4716,17.68976,16.78183,2.41005,32959.44,31.44626,35.70254,18.44214,17.2604,2.52,32959.44,32.06291,30.21661,15.08903,15.12759,2.03,32959.44,29.31467,0.002215315,0.206478982
172705,4.8209E+11,48,209,10906,3,TX,606,59646,30687.56796,14291.63213,3.74,4.31,1.21778,1.02185,0.25248,0.10175,5.3,4.9,21.69811,20.9697,0.0047,2837.08135,0.08681,0.01377,319.11765,59646,4,2,50.18966,26.97828,23.21138,2.33144,30381.48,38.4755,53.52151,29.63485,23.88666,2.44,30381.48,38.4755,40.32478,19.11277,21.21202,2.01,30381.48,38.4755,11720,1,1,123.48102,59.14693,64.33409,1.21436,20246.76,14.97932,126.14763,60,66.14763,1.28,20246.76,5.4965,115.58576,56.62116,58.9646,1.02,20246.76,43.05591,29823,1,1,62.94938,34.30956,28.63982,1.40436,21069.72,11.06556,66.06161,36.65627,29.40534,1.47,21069.72,3.66433,53.73473,27.36143,26.37329,1.21,21069.72,32.979,80522,1,1,32.3859,19.80569,12.58021,1.60688,22704.84,6.467,34.59606,21.71332,12.88274,1.67,22704.84,0.91608,25.84211,14.15762,11.68449,1.42,22704.84,22.90208,47717,2,0,49.7225,34.92584,14.79666,1.52144,8208,43.78606,54.29022,38.65289,15.63733,1.63,8208,39.39158,36.19849,23.89086,12.30763,1.2,8208,56.79716,29823,3,1,78.88009,44.48185,34.39824,1.83639,22147.56,45.37787,82.33005,46.59491,35.73514,1.95,22147.56,42.13983,68.66552,38.22553,30.43999,1.5,22147.56,54.965,47717,3,1,56.51232,33.21514,23.29718,1.92891,23130.36,43.53663,60.5235,36.3644,24.1591,2.04,23130.36,41.22375,44.63607,23.89086,20.74521,1.6,23130.36,50.38458,89469,4,2,37.33899,20.76276,16.57623,2.41396,31780.08,36.86555,40.50964,23.47182,17.03782,2.52,31780.08,37.55941,27.95138,12.74184,15.20954,2.1,31780.08,34.81116,0.0022676,0.238137246
172706,4.8209E+11,48,209,10908,1,TX,713,59646,57745.19691,21060.18373,3.34,4.46,1.62979,1.45374,0.25526,0.11565,6.1,4,52.32274,15.8384,0.00779,3792.08603,0.05147,0.00656,369.11816,59646,4,2,51.09514,27.53305,23.5621,2.38727,30431.16,21.26521,53.6011,29.21235,24.38874,2.52,30431.16,22.90208,43.78382,22.63354,21.15028,2,30431.16,16.4895,11720,1,1,127.92575,63.02285,64.9029,1.27066,19587.96,5.3783,126.57595,59.18089,67.39506,1.36,19587.96,0,131.86391,74.23208,57.63183,1.01,19587.96,21.06992,29823,1,1,62.72584,33.82222,28.90363,1.46066,20387.16,2.80607,66.08776,36.13319,29.95457,1.55,20387.16,0,52.91717,27.07977,25.8374,1.2,20387.16,10.993,80522,1,1,32.8999,20.2173,12.6826,1.66066,21974.76,0.23384,34.51471,21.40036,13.11434,1.75,21974.76,0,28.18857,16.7656,11.42297,1.4,21974.76,0.91608,47717,2,0,50.66677,35.59609,15.07068,1.57727,7797.6,26.62423,54.20015,38.09963,16.10052,1.71,7797.6,23.81817,40.35785,28.2918,12.06605,1.19,7797.6,34.81116,29823,3,1,80.60004,45.74654,34.8535,1.88471,21982.32,28.88553,82.35937,45.91087,36.44849,2.02,21982.32,27.4825,75.46706,45.26708,30.19999,1.49,21982.32,32.979,47717,3,1,57.54265,33.91048,23.63216,1.98216,22946.76,26.35185,60.53962,35.83628,24.70334,2.12,22946.76,25.65033,48.79873,28.2918,20.50693,1.58,22946.76,28.39858,89469,4,2,38.13792,21.33203,16.80589,2.46727,31806,19.64761,40.85612,23.47182,17.3843,2.6,31806,21.986,30.20734,15.08903,15.11832,2.08,31806,12.82517,0.002416286,0.231512907
172709,4.826E+11,48,259,970301,1,TX,677,51208,86531.07875,39916.85353,2.93,2.65,1.036,0.68677,0.10044,0.04357,6.9,5,79.40814,26.4467,0.00669,1781.02023,0.05882,0.00109,192.11099,51208,4,2,58.3474,28.59846,29.74894,2.5538,33739.2,11.44932,59.26013,29.17513,30.085,2.6,33739.2,12.72773,50.1731,23.43384,26.73926,2.14,33739.2,0,11720,1,1,183.52411,110.04557,73.47854,1.44087,22145.4,0,189.48437,115.18771,74.29665,1.47,22145.4,0,130.14478,63.99317,66.15161,1.18,22145.4,0,25604,1,1,87.93865,50.65011,37.28854,1.60087,22937.04,0,90.41512,52.72614,37.68898,1.63,22937.04,0,65.75972,32.05749,33.70223,1.34,22937.04,0,69131,1,1,36.9467,20.70733,16.23937,1.80087,24721.2,0,37.77149,21.36813,16.40337,1.83,24721.2,0,29.55993,14.78931,14.77061,1.54,24721.2,0,40966,2,0,57.00397,36.70365,20.30032,1.7438,10792.44,12.14664,58.74128,38.02177,20.7195,1.79,10792.44,12.72773,41.44486,24.8987,16.54616,1.33,10792.44,6.9424,25604,3,1,96.18828,51.28563,44.90264,2.05279,24991.2,16.07759,98.28039,52.72614,45.55425,2.1,24991.2,17.356,77.45156,38.38463,39.06693,1.63,24991.2,4.62827,40966,3,1,65.18807,34.84532,30.34274,2.15179,26034.48,14.57186,66.5477,35.76625,30.78146,2.2,26034.48,16.19893,53.01134,26.59767,26.41368,1.72,26034.48,0,76812,4,2,44.06816,22.89513,21.17304,2.6338,35212.32,10.40847,44.95115,23.5432,21.40795,2.68,35212.32,11.57067,36.16024,17.09108,19.06916,2.22,35212.32,0,0.005871744,0.383933888
172831,4.81852E+11,48,185,180101,2,TX,421,43810,33539.36635,17732.58703,2.85,1.75,1.30845,1.20133,0.019,0.01692,5,4.7,61.63636,35.4183,0.0033,2124.21964,0.00832,0.0004,232.13273,43810,4,2,62.21828,28.96843,33.24985,2.37278,33800.76,0,62.48242,29.17142,33.311,2.38,33800.76,0,48.5819,18.48893,30.09297,2,33800.76,0,11720,1,1,136.05229,66.60154,69.45075,1.2762,22546.08,0,136.11039,66.5529,69.55749,1.28,22546.08,0,133.05285,69.11263,63.94022,1.08,22546.08,0,21905,1,1,76.86979,36.118,40.75179,1.40601,23319.36,0,76.91726,36.10135,40.81591,1.41,23319.36,0,74.41931,36.97786,37.44145,1.2,23319.36,0,59144,1,1,38.61222,21.21907,17.39315,1.6062,25381.08,0,38.7818,21.3648,17.41699,1.61,25381.08,0,29.8578,13.69539,16.16241,1.41,25381.08,0,35048,2,0,58.92555,37.75559,21.16995,1.56278,11249.28,0,59.28174,38.03926,21.24247,1.57,11249.28,0,40.53728,23.11116,17.42612,1.19,11249.28,0,21905,3,1,95.45568,45.6839,49.77177,1.8824,25072.2,0,95.74646,45.85255,49.89391,1.89,25072.2,0,80.44422,36.97786,43.46636,1.49,25072.2,0,35048,3,1,68.11486,35.53877,32.57608,1.97259,26228.88,0,68.43001,35.7795,32.65051,1.98,26228.88,0,51.84488,23.11116,28.73372,1.59,26228.88,0,65715,4,2,47.06273,23.34286,23.71987,2.45278,35412.12,0,47.3189,23.55627,23.76264,2.46,35412.12,0,33.83791,12.32595,21.51195,2.08,35412.12,0,0.00958023,0.62242203
172832,4.81852E+11,48,185,180400,1,TX,88,43810,39691.02566,41708.97434,3.11,1.43,0.15817,0.09404,0.5,0.01179,7,5.9,42.04545,54.7717,0.00375,1669.21456,0.00467,0,181.13217,43810,4,2,60.30202,28.36339,31.93863,2.32,31580.28,0,64.84575,30.70532,34.14044,2.58,31580.28,0,55.75828,26.02146,29.73682,2.06,31580.28,0,11720,1,1,120.89638,54.21502,66.68136,1.31,20051.28,0,124.56967,52.83276,71.73691,1.49,20051.28,0,117.22309,55.59727,61.62582,1.13,20051.28,0,21905,1,1,75.54268,36.04656,39.49612,1.435,21108.6,0,80.27211,37.96394,42.30817,1.61,21108.6,0,70.81326,34.12919,36.68406,1.26,21108.6,0,59144,1,1,38.03256,20.87786,17.1547,1.635,23927.4,0,40.73319,22.48073,18.25246,1.81,23927.4,0,35.33194,19.27499,16.05695,1.46,23927.4,0,35048,2,0,55.95635,36.27596,19.68039,1.515,9174.6,0,62.3669,40.02511,22.34179,1.78,9174.6,0,49.5458,32.52682,17.01898,1.25,9174.6,0,21905,3,1,91.35455,44.56517,46.78939,1.82,22529.88,0,99.39094,48.26295,51.12798,2.09,22529.88,0,83.31817,40.86738,42.45079,1.55,22529.88,0,35048,3,1,65.95419,35.09473,30.85946,1.91,23993.28,0,71.23372,37.66263,33.57108,2.18,23993.28,0,60.67466,32.52682,28.14784,1.64,23993.28,0,65715,4,2,43.99211,21.06368,22.92843,2.4,33567.48,0,49.2481,24.77973,24.46837,2.66,33567.48,0,38.73612,17.34764,21.38849,2.14,33567.48,0,0.002965855,0.465821244
