GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
1400000US48453001849,48453001849,"Census Tract 18.49, Travis County, Texas",3490,304,227,128,524,195,359,144,557,203,501,201,343,148,206,99,200,92,408,204,165,121
1400000US48453001850,48453001850,"Census Tract 18.50, Travis County, Texas",1694,181,117,96,105,67,325,130,221,114,223,124,228,131,75,91,123,75,246,130,31,33
1400000US48453001851,48453001851,"Census Tract 18.51, Travis County, Texas",2662,246,119,110,207,127,400,171,327,173,573,277,242,166,277,155,112,61,303,121,102,86
1400000US48453001853,48453001853,"Census Tract 18.53, Travis County, Texas",270,82,0,13,45,41,34,38,19,20,42,39,7,11,37,38,29,36,57,46,0,13
1400000US48453001854,48453001854,"Census Tract 18.54, Travis County, Texas",208,87,0,18,0,18,37,35,37,37,21,23,0,18,16,28,20,21,35,39,42,49
1400000US48453001855,48453001855,"Census Tract 18.55, Travis County, Texas",1277,279,39,43,31,50,325,179,189,117,155,107,117,94,123,115,71,80,154,177,73,86
1400000US48453001856,48453001856,"Census Tract 18.56, Travis County, Texas",239,98,28,45,33,39,40,33,69,46,0,18,47,46,8,14,9,15,5,11,0,18
1400000US48453001857,48453001857,"Census Tract 18.57, Travis County, Texas",996,197,17,24,46,52,55,45,218,107,102,77,193,133,60,73,69,53,236,136,0,18
1400000US48453001858,48453001858,"Census Tract 18.58, Travis County, Texas",393,186,0,24,31,51,63,76,75,73,79,90,53,58,26,43,0,24,31,50,35,56
1400000US48453001859,48453001859,"Census Tract 18.59, Travis County, Texas",93,51,0,13,25,30,5,9,8,12,0,13,27,37,21,32,0,13,4,7,3,6
1400000US48453001860,48453001860,"Census Tract 18.60, Travis County, Texas",991,146,10,19,24,27,86,79,89,54,116,81,125,64,106,78,72,40,324,120,39,49
1400000US48453001861,48453001861,"Census Tract 18.61, Travis County, Texas",305,99,0,18,54,43,0,18,92,51,12,18,10,15,0,18,31,50,98,73,8,16
1400000US48453001862,48453001862,"Census Tract 18.62, Travis County, Texas",691,130,13,20,43,52,59,48,113,72,108,76,60,47,13,20,87,70,154,106,41,33
1400000US48453001863,48453001863,"Census Tract 18.63, Travis County, Texas",1825,108,59,40,119,57,214,84,176,73,374,107,203,64,131,61,160,71,373,107,16,19
1400000US48453001864,48453001864,"Census Tract 18.64, Travis County, Texas",1358,116,18,19,129,60,167,69,219,81,207,78,66,48,162,80,51,35,304,82,35,34
1400000US48453001901,48453001901,"Census Tract 19.01, Travis County, Texas",1605,209,60,68,61,62,304,132,299,134,118,76,189,87,149,101,148,113,247,107,30,34
1400000US48453001908,48453001908,"Census Tract 19.08, Travis County, Texas",1516,215,129,82,160,81,150,82,280,157,237,134,86,86,159,103,54,44,227,108,34,40
1400000US48453001910,48453001910,"Census Tract 19.10, Travis County, Texas",671,122,21,25,72,46,145,81,129,74,83,45,0,13,21,23,66,54,134,76,0,13
1400000US48453001911,48453001911,"Census Tract 19.11, Travis County, Texas",1626,97,56,43,130,66,297,96,303,92,310,104,83,54,59,42,159,73,224,102,5,9
